Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0.0000,1.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2000,0.7714,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,0.0089,515.1474
1.0000,0.0000,0.0000,0.7143,0.5000,0.8571,0.6667,0.9048,0.7500,0.9286,0.8000,0.9429,0.8333,0.9524,0.8333,0.9524,1.0000,7.0000,0.0074,268.5110
2.0000,0.0000,0.0000,0.7143,0.5000,0.8571,0.6667,0.9048,0.5000,0.8571,0.6000,0.8857,0.6667,0.9048,0.6667,0.9048,1.0000,7.0000,0.0090,364.1321
3.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,0.0086,534.3251
4.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.3333,0.8095,0.5000,0.8571,0.6000,0.8857,0.6667,0.9048,0.6667,0.9048,1.0000,7.0000,0.0076,173.6254
5.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2000,0.7714,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,0.0107,317.2947
6.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0088,218.4608
7.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2000,0.7714,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,0.0107,664.4379
0.0000,2.0000,0.0000,0.7143,0.0000,0.7143,0.3333,0.8095,0.2500,0.7857,0.2000,0.7714,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,0.0393,522.2202
0.0000,3.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,0.0526,522.3928
0.0000,4.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,1.0000,7.0000,0.0262,520.6362
0.0000,5.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2000,0.7714,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,0.0423,521.6660
0.0000,6.0000,0.0000,0.7143,0.5000,0.8571,0.6667,0.9048,0.5000,0.8571,0.4000,0.8286,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,0.0268,521.0341
0.0000,7.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,0.0317,521.0337
1.0000,2.0000,0.0000,0.7143,0.5000,0.8571,0.3333,0.8095,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,0.0440,273.0623
