Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0.0000,1.0000,1.0000,1.0000,0.5000,0.8571,0.3333,0.8095,0.2500,0.7857,0.2000,0.7714,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,1.5952,334.8024
1.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.3333,0.8095,0.5000,0.8571,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,0.9441,168.5556
2.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.3333,0.8095,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,1.1226,325.4479
3.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.9048,0.5000,0.8571,0.6000,0.8857,0.6667,0.9048,0.6667,0.9048,1.0000,7.0000,1.7942,254.1903
4.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.3333,0.8095,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,1.5047,209.0436
5.0000,0.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,1.9650,338.0531
6.0000,0.0000,1.0000,1.0000,1.0000,1.0000,0.6667,0.9048,0.5000,0.8571,0.6000,0.8857,0.6667,0.9048,0.6667,0.9048,1.0000,7.0000,1.0935,171.1638
7.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,2.0591,332.7680
0.0000,2.0000,0.0000,0.7143,0.5000,0.8571,0.3333,0.8095,0.5000,0.8571,0.6000,0.8857,0.6667,0.9048,0.6667,0.9048,1.0000,7.0000,4.1434,338.2418
0.0000,3.0000,0.0000,0.7143,0.5000,0.8571,0.6667,0.9048,0.7500,0.9286,0.8000,0.9429,0.8333,0.9524,0.8333,0.9524,1.0000,7.0000,6.4176,338.7488
