Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0.0000,1.0000,0.5000,0.8571,0.3333,0.7857,0.5000,0.8571,0.6000,0.8929,0.6667,0.9143,0.7143,0.9286,0.7143,0.9286,1.1667,7.0000,0.0066,277.9739
1.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.2000,0.7143,0.2857,0.7500,0.2500,0.7429,0.2222,0.7381,0.2222,0.7381,1.5000,7.0000,0.0072,360.7953
2.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,1.0000,7.0000,0.0080,347.2279
3.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.6857,0.1429,0.7381,0.1429,0.7381,1.1667,7.0000,0.0079,321.4746
4.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.6667,0.2000,0.7500,0.3333,0.8000,0.4286,0.8333,0.4286,0.8333,1.1667,7.0000,0.0077,327.0352
5.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2000,0.7714,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,0.0073,272.1989
6.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2000,0.7714,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,0.0078,227.9955
7.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,1.0000,7.0000,0.0079,454.4660
0.0000,2.0000,0.0000,0.7143,0.3333,0.7857,0.5000,0.8571,0.4000,0.8214,0.4286,0.8286,0.3750,0.8095,0.3750,0.8095,1.3333,7.0000,0.0180,279.9573
0.0000,3.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0180,279.9130
0.0000,4.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,0.8000,0.9429,0.6667,0.9048,0.6667,0.9048,1.0000,7.0000,0.0163,279.8611
0.0000,5.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.1667,0.7619,0.1667,0.7619,1.0000,7.0000,0.0189,279.9913
0.0000,6.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.6667,0.0000,0.6786,0.0000,0.6857,0.1429,0.7381,0.1429,0.7381,1.1667,7.0000,0.0195,280.0062
0.0000,7.0000,0.5000,0.8571,0.3333,0.7857,0.5000,0.8571,0.4000,0.8214,0.5000,0.8571,0.4286,0.8333,0.4286,0.8333,1.1667,7.0000,0.0153,279.8940
1.0000,2.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.1667,0.7429,0.2500,0.7619,0.2500,0.7619,1.3333,7.0000,0.0198,362.9809
1.0000,3.0000,1.0000,1.0000,0.5000,0.8571,0.6000,0.9048,0.5000,0.8571,0.5714,0.8857,0.6250,0.9048,0.6250,0.9048,1.3333,7.0000,0.0202,362.9637
1.0000,4.0000,1.0000,1.0000,0.5000,0.8571,0.3333,0.8095,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,0.0218,363.1259
1.0000,5.0000,0.0000,0.7143,0.0000,0.6429,0.0000,0.6667,0.0000,0.6786,0.0000,0.6857,0.0000,0.6905,0.0000,0.6905,1.1667,7.0000,0.0199,362.9060
1.0000,6.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,1.0000,7.0000,0.0203,363.2831
1.0000,7.0000,0.0000,0.7143,0.5000,0.8571,0.3333,0.8095,0.2500,0.7857,0.2000,0.7714,0.1667,0.7619,0.1667,0.7619,1.0000,7.0000,0.0186,362.8880
2.0000,1.0000,0.0000,0.7143,0.5000,0.8571,0.3333,0.8095,0.5000,0.8571,0.6000,0.8857,0.6667,0.9048,0.6667,0.9048,1.0000,7.0000,0.0178,349.6628
2.0000,3.0000,0.0000,0.7143,0.0000,0.7143,0.3333,0.8095,0.5000,0.8571,0.4000,0.8286,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,0.0154,349.4837
