Initial,Goal,PPV_1,ACC_1,PPV_2,ACC_2,PPV_3,ACC_3,PPV_4,ACC_4,PPV_5,ACC_5,PPV_6,ACC_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
0.0000,1.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.1667,0.7619,0.1667,0.7619,1.0000,7.0000,0.0079,238.0339
1.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.3333,0.8095,0.5000,0.8571,0.6000,0.8857,0.6667,0.9048,0.6667,0.9048,1.0000,7.0000,0.0068,159.4182
2.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.1667,0.7619,0.1667,0.7619,1.0000,7.0000,0.0066,97.4441
3.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2500,0.7857,0.4000,0.8286,0.3333,0.8095,0.3333,0.8095,1.0000,7.0000,0.0073,223.5328
4.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.1667,0.7619,0.1667,0.7619,1.0000,7.0000,0.0073,254.1108
5.0000,0.0000,0.0000,0.5714,0.0000,0.6429,0.0000,0.6667,0.0000,0.6786,0.0000,0.6857,0.1429,0.7381,0.1429,0.7381,1.1667,7.0000,0.0070,122.3863
6.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.1667,0.7429,0.1429,0.7381,0.1429,0.7381,1.1667,7.0000,0.0077,241.8969
7.0000,0.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.1667,0.7619,0.1667,0.7619,1.0000,7.0000,0.0064,137.6271
0.0000,2.0000,0.0000,0.7143,0.5000,0.8571,0.2500,0.7619,0.2000,0.7500,0.1667,0.7429,0.2857,0.7857,0.2857,0.7857,1.1667,7.0000,0.0178,239.5436
0.0000,3.0000,0.0000,0.7143,0.3333,0.7857,0.2500,0.7619,0.3333,0.7857,0.4286,0.8286,0.5000,0.8571,0.5000,0.8571,1.3333,7.0000,0.0174,239.6215
0.0000,4.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,0.0173,239.8348
0.0000,5.0000,0.0000,0.5714,0.0000,0.6429,0.0000,0.6667,0.0000,0.6786,0.1667,0.7429,0.1429,0.7381,0.1429,0.7381,1.1667,7.0000,0.0193,239.6119
0.0000,6.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2500,0.7857,0.2000,0.7714,0.1667,0.7619,0.1667,0.7619,1.0000,7.0000,0.0164,239.6131
0.0000,7.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,0.0179,239.4892
1.0000,2.0000,1.0000,1.0000,0.5000,0.8571,0.3333,0.8095,0.2500,0.7857,0.2000,0.7714,0.1667,0.7619,0.1667,0.7619,1.0000,7.0000,0.0131,160.5562
1.0000,3.0000,0.0000,0.7143,0.0000,0.7143,0.0000,0.7143,0.2500,0.7857,0.4000,0.8286,0.5000,0.8571,0.5000,0.8571,1.0000,7.0000,0.0207,160.6014
