Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.301428571428572,0.3296875,0.3705028125,0.409754464285714,0.47475,0.540058267857142,0.540058267857142,0.877975,1,7,0.038353571428572,211.176253571429
Archipelago,0.226071428571428,0.226071428571428,0.263746232142858,0.324977678571428,0.384321428571428,0.467849169642858,0.467849169642858,0.860869642857143,1,7,0.037883928571429,190.5217875
BigGameHunters,0.207232142857142,0.235491071428572,0.276306383928572,0.3296875,0.395625,0.458423875,0.458423875,0.858632142857143,1,7,0.039014285714286,191.376478571429
Caldera,0.357946428571428,0.386205357142858,0.420741535714286,0.470982142857142,0.542571428571428,0.599712866071428,0.599712866071428,0.892108928571429,1,7,0.039396428571429,180.819448214286
Circle,0.402084991071428,0.441153901785714,0.505069946428571,0.553875,0.602627303571429,0.651213821428571,0.651213821428571,0.904019642857143,1.0297625,7,0.029385714285714,127.663494642857
CrescentMoon,0.26375,0.254330357142858,0.288864651785714,0.320267857142858,0.373017857142858,0.439586473214286,0.439586473214286,0.854169642857143,1,7,0.037625,122.209208928571
Desolation,0.395625,0.386205357142858,0.408181383928572,0.447433035714286,0.489821428571428,0.540063919642858,0.540063919642858,0.877980357142857,1,7,0.039046428571429,116.014096428571
EbonLakes,0.339107142857142,0.357946428571428,0.395621232142858,0.419174107142858,0.463446428571428,0.505523973214286,0.505523973214286,0.869794642857143,1,7,0.039694642857143,169.1236375
Entanglement,0.452142857142858,0.433303571428572,0.483542294642858,0.5275,0.568946428571428,0.615415410714286,0.615415410714286,0.895832142857143,1,7,0.039553571428572,134.833351785714
Eruption,0.169553571428572,0.178973214285714,0.219784758928572,0.277879464285714,0.380553571428572,0.461558732142858,0.461558732142858,0.859371428571428,1,7,0.039030357142857,199.386623214286
HotZone,0.26375,0.310848214285714,0.364219910714286,0.405044642857142,0.459678571428572,0.514947383928572,0.514947383928572,0.872030357142857,1,7,0.038444642857143,132.871533928571
Isolation,0.357946428571428,0.442723214285714,0.477261276785714,0.546339285714286,0.595321428571428,0.643678107142858,0.643678107142858,0.902532142857143,1,7,0.038510714285714,123.758417857143
Legacy,0.339107142857142,0.357946428571428,0.320271625,0.310848214285714,0.324035714285714,0.370506580357142,0.370506580357142,0.837798214285714,1,7,0.039807142857143,176.828144642857
OrbitalGully,0.169553571428572,0.216651785714286,0.276310151785714,0.339107142857142,0.376785714285714,0.4270244375,0.4270244375,0.851191071428571,1,7,0.038078571428572,159.9096875
Predators,0.376785714285714,0.433303571428572,0.470982142857142,0.513370535714286,0.550107142857142,0.5934375,0.5934375,0.890625,1,7,0.038551785714286,127.768048214286
Ramparts,0.226071428571428,0.216651785714286,0.2386278125,0.26375,0.305196428571428,0.361088821428572,0.361088821428572,0.835567857142857,1,7,0.038305357142857,213.2562125
RedCanyons,0.400334821428572,0.374901785714286,0.405038991071428,0.444068339285714,0.482756696428572,0.5400676875,0.5400676875,0.878355357142857,1.00892857142857,7,0.038360714285714,124.2912625
Rosewood,0.244910714285714,0.254330357142858,0.301424803571428,0.353236607142858,0.418232142857142,0.464704892857142,0.464704892857142,0.860121428571429,1,7,0.038919642857143,203.864478571429
Sanctuary,0.226071428571428,0.292008928571428,0.295147553571428,0.301428571428572,0.342875,0.383066732142858,0.383066732142858,0.840775,1,7,0.038242857142857,191.053626785714
ShroudPlatform,0.320267857142858,0.339107142857142,0.351661642857142,0.390915178571428,0.425767857142858,0.467841633928572,0.467841633928572,0.8608625,1,7,0.038483928571429,232.507151785714
SpaceAtoll,0.226071428571428,0.273169642857142,0.288866535714286,0.343816964285714,0.384321428571428,0.411329428571428,0.411329428571428,0.847475,1,7,0.0391875,231.441632142857
SpaceDebris,0.150714285714286,0.188392857142858,0.226069544642858,0.292008928571428,0.342875,0.405046526785714,0.405046526785714,0.845983928571429,1,7,0.037155357142857,156.158226785714
SteppingStones,0.395625,0.452142857142858,0.502375928571428,0.555758928571428,0.617928571428572,0.668796526785714,0.668796526785714,0.908483928571429,1,7,0.038076785714286,110.723641071429
Triskelion,0.301428571428572,0.357946428571428,0.370504696428572,0.414464285714286,0.463446428571428,0.508662598214286,0.508662598214286,0.8705375,1,7,0.039707142857143,189.7079875
WarpGates,0.282589285714286,0.292008928571428,0.320265973214286,0.353236607142858,0.399392857142858,0.445865607142858,0.445865607142858,0.855657142857143,1,7,0.039026785714286,144.839192857143
WatersEdge,0.188392857142858,0.207232142857142,0.226071428571428,0.282589285714286,0.346642857142858,0.411320008928572,0.411320008928572,0.847466071428571,1,7,0.038048214285714,161.414005357143
WaypointJunction,0.320267857142858,0.357946428571428,0.370508464285714,0.405044642857142,0.452142857142858,0.527498116071428,0.527498116071428,0.874998214285714,1,7,0.0376875,216.102817857143
WinterConquest,0.188392857142858,0.235491071428572,0.3077039375,0.372075892857142,0.429535714285714,0.486686571428572,0.486686571428572,0.865332142857143,1,7,0.039739285714286,168.694071428571
