Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,std,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.214285714285714,0.339285714285714,0.404757142857143,0.495535714285714,0.575,0.630955357142857,0.630955357142857,0.259587280763938,0.894564285714286,1,7,0.028775,312.992171428571
Archipelago,0.339285714285714,0.366071428571429,0.434517857142857,0.464285714285714,0.503571428571429,0.568453571428571,0.568453571428571,0.271127876548241,0.876701785714286,1,7,0.027882142857143,304.812076785714
BigGameHunters,0.107142857142857,0.142857142857143,0.220232142857143,0.334821428571429,0.453571428571429,0.544641071428571,0.544641071428571,0.191994930592911,0.869889285714286,1,7,0.032316071428572,389.660671428571
Caldera,0.410714285714286,0.508928571428571,0.50595,0.549107142857143,0.628571428571429,0.687503571428571,0.687503571428571,0.23151052201832,0.910716071428571,1,7,0.030314285714286,343.626173214286
Circle,0.589285714285714,0.732142857142857,0.785725,0.808035714285714,0.835714285714286,0.857139285714286,0.857139285714286,0.186479189849037,0.959194642857143,1,7,0.028566071428572,255.618196428571
CrescentMoon,0.25,0.267857142857143,0.2976125,0.383928571428571,0.471428571428571,0.547625,0.547625,0.224088535465946,0.870746428571428,1,7,0.029360714285714,314.134657142857
Desolation,0.267857142857143,0.285714285714286,0.351185714285714,0.410714285714286,0.496428571428571,0.565478571428571,0.565478571428571,0.245522855602847,0.87585,1,7,0.027308928571429,248.795130357143
EbonLakes,0.232142857142857,0.276785714285714,0.333330357142857,0.401785714285714,0.446428571428571,0.505953571428571,0.505953571428571,0.265838623614393,0.8588375,1,7,0.029182142857143,312.489032142857
Entanglement,0.303571428571429,0.428571428571429,0.464285714285714,0.522321428571429,0.582142857142857,0.639878571428571,0.639878571428571,0.237358906387686,0.897114285714286,1,7,0.026126785714286,222.262303571429
Eruption,0.142857142857143,0.151785714285714,0.208323214285714,0.290178571428571,0.4,0.488096428571429,0.488096428571429,0.228872449562701,0.8537375,1,7,0.030907142857143,300.174817857143
HotZone,0.375,0.375,0.422610714285714,0.473214285714286,0.55,0.61905,0.61905,0.24352942476685,0.891153571428571,1,7,0.031355357142857,298.122971428571
Isolation,0.267857142857143,0.357142857142857,0.446428571428571,0.486607142857143,0.553571428571429,0.613096428571429,0.613096428571429,0.252471164844467,0.889458928571429,1,7,0.029446428571429,318.333280357143
Legacy,0.196428571428571,0.169642857142857,0.208326785714286,0.25,0.310714285714286,0.360117857142857,0.360117857142857,0.301140677550086,0.817178571428571,1,7,0.027653571428572,229.624948214286
OrbitalGully,0.339285714285714,0.339285714285714,0.398801785714286,0.441964285714286,0.485714285714286,0.547623214285714,0.547623214285714,0.283755276757389,0.87075,1,7,0.029189285714286,322.334226785714
Predators,0.321428571428571,0.366071428571429,0.410710714285714,0.459821428571429,0.528571428571429,0.598216071428571,0.598216071428571,0.285639867841745,0.885201785714286,1,7,0.026907142857143,226.926619642857
Ramparts,0.232142857142857,0.232142857142857,0.267853571428571,0.321428571428571,0.371428571428571,0.434528571428571,0.434528571428571,0.297592699515957,0.838432142857143,1,7,0.030928571428572,434.454933928572
RedCanyons,0.214285714285714,0.267857142857143,0.345232142857143,0.428571428571429,0.496428571428571,0.580357142857143,0.580357142857143,0.244098986521409,0.880094642857143,1,7,0.028194642857143,293.892416071429
Rosewood,0.196428571428571,0.241071428571429,0.315466071428571,0.379464285714286,0.453571428571429,0.505955357142857,0.505955357142857,0.275174234338003,0.858844642857143,1,7,0.030792857142857,343.651957142857
Sanctuary,0.178571428571429,0.258928571428571,0.291658928571429,0.334821428571429,0.385714285714286,0.440485714285714,0.440485714285714,0.288547240454706,0.840133928571428,1,7,0.033233928571429,397.861173214286
ShroudPlatform,0.196428571428571,0.258928571428571,0.2916625,0.348214285714286,0.403571428571429,0.458332142857143,0.458332142857143,0.275693983254255,0.845232142857143,1,7,0.033683928571429,367.930316071429
SpaceAtoll,0.178571428571429,0.205357142857143,0.267848214285714,0.330357142857143,0.353571428571429,0.386910714285714,0.386910714285714,0.316395897961325,0.824832142857143,1,7,0.030244642857143,343.464221428571
SpaceDebris,0.160714285714286,0.196428571428571,0.261894642857143,0.330357142857143,0.389285714285714,0.458339285714286,0.458339285714286,0.268268862204639,0.845228571428571,1,7,0.030703571428572,331.282876785714
SteppingStones,0.535714285714286,0.517857142857143,0.5833375,0.647321428571429,0.703571428571429,0.738089285714286,0.738089285714286,0.251976030374155,0.925180357142857,1,7,0.027442857142857,196.377346428571
Triskelion,0.160714285714286,0.258928571428571,0.279753571428571,0.348214285714286,0.425,0.488094642857143,0.488094642857143,0.261806716643921,0.8537375,1,7,0.032105357142857,394.752580357143
WarpGates,0.267857142857143,0.339285714285714,0.339285714285714,0.375,0.442857142857143,0.485116071428571,0.485116071428571,0.296904734508186,0.852885714285714,1,7,0.028019642857143,320.359066071429
WatersEdge,0.089285714285714,0.151785714285714,0.220228571428571,0.294642857142857,0.353571428571429,0.437498214285714,0.437498214285714,0.249369459011448,0.839280357142857,1,7,0.031867857142857,450.252875
WaypointJunction,0.232142857142857,0.25,0.285703571428571,0.357142857142857,0.442857142857143,0.514885714285714,0.514885714285714,0.25481156347999,0.861392857142857,1,7,0.028348214285714,254.3058875
WinterConquest,0.196428571428571,0.223214285714286,0.273803571428571,0.330357142857143,0.403571428571429,0.467258928571429,0.467258928571429,0.292015025003718,0.847783928571428,1,7,0.032189285714286,376.597880357143
