Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.23214285714285715,0.26785714285714285,0.3288642857142857,0.4160714285714286,0.48630892857142854,0.5446428571428571,0.5446428571428571,0.8698964285714286,1.0059535714285714,7.0,3.5495642857142857,248.06005535714283
Archipelago,0.17857142857142858,0.1875,0.23213750000000002,0.29464285714285715,0.3642857142857143,0.4464267857142857,0.4464267857142857,0.841825,1.0,7.0,5.846160714285714,366.49758035714285
BigGameHunters,0.125,0.125,0.1845125,0.28125,0.37142857142857144,0.4613053571428572,0.4613053571428572,0.8460732142857142,1.0,7.0,10.762523214285713,537.2896839285714
Caldera,0.375,0.38392857142857145,0.4345160714285714,0.45535714285714285,0.5285714285714286,0.6011910714285714,0.6011910714285714,0.8860535714285714,1.0,7.0,6.238833928571428,496.29959999999994
Circle,0.42857142857142855,0.5535714285714286,0.6130964285714285,0.6607142857142857,0.7178571428571427,0.7589214285714286,0.7589214285714286,0.9311267857142856,1.0,7.0,3.3533714285714282,238.7055125
CrescentMoon,0.25,0.25,0.29165714285714284,0.35714285714285715,0.41428571428571426,0.4851214285714286,0.4851214285714286,0.8528839285714286,1.0,7.0,5.5239392857142855,345.85915178571435
Desolation,0.32142857142857145,0.39285714285714285,0.3988053571428572,0.4107142857142857,0.47857142857142865,0.5416607142857143,0.5416607142857143,0.8690410714285715,1.0,7.0,3.7233000000000005,268.8552160714286
EbonLakes,0.17857142857142858,0.20238035714285713,0.2663625,0.34791607142857145,0.39742678571428564,0.4400732142857143,0.4400732142857143,0.838,1.0565517857142857,7.0,5.423075,329.2263571428571
Entanglement,0.25,0.2857142857142857,0.315475,0.35267857142857145,0.39642857142857146,0.45237499999999997,0.45237499999999997,0.843525,1.0,7.0,4.0228375,332.09487499999994
Eruption,0.16071428571428573,0.14285714285714285,0.20236964285714285,0.2857142857142857,0.37797678571428567,0.45578214285714286,0.45578214285714286,0.844380357142857,1.0059535714285714,7.0,3.731255357142857,194.3605589285714
