Scenario,PPV_1,PPV_2,PPV_3,PPV_4,PPV_5,PPV_6,PPV_total,std,ACC_total,spread,planner_calls,online_time,offline_time
Aftershock,0.285714285714286,0.294642857142857,0.3869,0.477678571428571,0.553571428571429,0.607144642857143,0.607144642857143,0.275435469090524,0.887757142857143,1,7,18.0123089285714,259.953764285714
Archipelago,0.321428571428571,0.366071428571429,0.386898214285714,0.4375,0.492857142857143,0.559525,0.559525,0.277961102552979,0.87415,1,7,17.6035053571429,256.982773214286
BigGameHunters,0.142857142857143,0.160714285714286,0.261898214285714,0.40625,0.514285714285714,0.595241071428571,0.595241071428571,0.158660918507641,0.884348214285714,1,7,25.2914946428571,332.553416071429
Caldera,0.267857142857143,0.410714285714286,0.446421428571429,0.508928571428571,0.592857142857143,0.657742857142857,0.657742857142857,0.208667767845593,0.9022125,1,7,21.3063535714286,282.826589285714
Circle,0.625,0.723214285714286,0.7619125,0.803571428571429,0.825,0.848207142857143,0.848207142857143,0.208558969696604,0.956639285714286,1,7,13.1540660714286,221.438553571429
CrescentMoon,0.321428571428571,0.321428571428571,0.369042857142857,0.428571428571429,0.503571428571429,0.5625,0.5625,0.239952016787502,0.874996428571428,1,7,17.72815,263.314710714286
Desolation,0.339285714285714,0.357142857142857,0.446421428571429,0.504464285714286,0.560714285714286,0.619046428571429,0.619046428571429,0.251971220166526,0.891151785714286,1,7,12.4136410714286,218.443571428571
EbonLakes,0.321428571428571,0.366071428571429,0.3571375,0.401785714285714,0.464285714285714,0.529760714285714,0.529760714285714,0.274299680124191,0.865641071428571,1,7,18.6890267857143,264.624939285714
Entanglement,0.303571428571429,0.357142857142857,0.428575,0.495535714285714,0.567857142857143,0.619041071428572,0.619041071428572,0.260352839250591,0.891155357142857,1,7,10.4441446428571,195.487196428571
Eruption,0.142857142857143,0.196428571428571,0.255942857142857,0.357142857142857,0.457142857142857,0.538696428571429,0.538696428571429,0.231616458652729,0.868192857142857,1,7,18.1086285714286,253.430033928571
HotZone,0.321428571428571,0.375,0.392851785714286,0.441964285714286,0.514285714285714,0.574408928571429,0.574408928571429,0.246743349704458,0.878405357142857,1,7,17.2775232142857,253.950321428571
Isolation,0.339285714285714,0.428571428571429,0.458330357142857,0.517857142857143,0.578571428571429,0.633928571428571,0.633928571428571,0.242915352627634,0.8954125,1,7,17.8195875,265.888717857143
Legacy,0.267857142857143,0.258928571428571,0.261898214285714,0.294642857142857,0.364285714285714,0.434521428571429,0.434521428571429,0.274435555933246,0.838425,1,7,12.0264571428571,196.288789285714
OrbitalGully,0.25,0.357142857142857,0.428566071428571,0.486607142857143,0.528571428571429,0.589283928571428,0.589283928571428,0.317307577604435,0.88265,1,7,19.3007607142857,271.858530357143
Predators,0.357142857142857,0.366071428571429,0.398810714285714,0.482142857142857,0.539285714285714,0.610117857142857,0.610117857142857,0.278740429711666,0.888605357142857,1,7,10.9149660714286,200.961066071429
Ramparts,0.321428571428571,0.321428571428571,0.279751785714286,0.299107142857143,0.364285714285714,0.4375,0.4375,0.279896943041588,0.839278571428571,1,7,29.9372660714286,352.744744642857
RedCanyons,0.321428571428571,0.375,0.4166625,0.46875,0.532142857142857,0.601189285714286,0.601189285714286,0.235012174290897,0.886048214285714,1,7,16.0960125,251.434357142857
Rosewood,0.214285714285714,0.258928571428571,0.327375,0.392857142857143,0.478571428571429,0.5357125,0.5357125,0.242916644827841,0.8673375,1,7,21.9629232142857,289.971030357143
Sanctuary,0.196428571428571,0.294642857142857,0.2976125,0.357142857142857,0.4,0.455355357142857,0.455355357142857,0.270595737906894,0.844380357142857,1,7,26.4668839285714,338.219096428571
ShroudPlatform,0.196428571428571,0.214285714285714,0.303567857142857,0.361607142857143,0.432142857142857,0.497016071428571,0.497016071428571,0.269681069831245,0.856285714285714,1,7,28.1968607142857,324.031505357143
SpaceAtoll,0.232142857142857,0.232142857142857,0.2916625,0.321428571428571,0.360714285714286,0.428569642857143,0.428569642857143,0.279900326391888,0.836726785714286,1,7,24.9739321428571,308.643098214286
SpaceDebris,0.196428571428571,0.258928571428571,0.297616071428571,0.34375,0.403571428571429,0.458339285714286,0.458339285714286,0.258736748427843,0.8452375,1,7,21.6777857142857,279.489955357143
SteppingStones,0.553571428571429,0.598214285714286,0.6488125,0.691964285714286,0.732142857142857,0.761901785714286,0.761901785714286,0.271391809420954,0.931980357142857,1,7,8.25416785714286,171.876094642857
Triskelion,0.160714285714286,0.276785714285714,0.327376785714286,0.397321428571429,0.467857142857143,0.526782142857143,0.526782142857143,0.23722220201716,0.864782142857143,1,7,25.1150267857143,314.479353571429
WarpGates,0.267857142857143,0.321428571428571,0.380951785714286,0.428571428571429,0.471428571428571,0.5327375,0.5327375,0.295892260967821,0.866492857142857,1,7,18.985925,269.248367857143
WatersEdge,0.196428571428571,0.232142857142857,0.285710714285714,0.339285714285714,0.414285714285714,0.494046428571429,0.494046428571429,0.260628515093552,0.855433928571428,1,7,29.5330928571429,368.09205
WaypointJunction,0.196428571428571,0.258928571428571,0.327378571428571,0.397321428571429,0.464285714285714,0.535708928571429,0.535708928571429,0.260357619688516,0.867341071428571,1,7,14.3100267857143,225.770785714286
WinterConquest,0.214285714285714,0.276785714285714,0.369041071428571,0.419642857142857,0.478571428571429,0.5416625,0.5416625,0.256722939038512,0.869044642857143,1,7,26.54205,329.803235714286
