problem,ppv_30,ppv_50,ppv_60,ppv_100,Acc_1,Acc_2,Acc_3,Acc_4,STD,Spread,PC,Offline,Online
blocks-world,0.214,0.267,0.301,0.39,0.87,0.886,0.894,0.911,0.204,2.055,20,52.354,11.49
depots,0.19,0.241,0.311,0.41,0.701,0.679,0.74,0.813,0.214,1.968,8,14.061,2.907
driverlog,0.286,0.291,0.358,0.46,0.764,0.766,0.796,0.834,0.325,1.173,6.667,12.541,2.428
dwr,0.253,0.299,0.337,0.403,0.601,0.669,0.714,0.774,0.114,2.191,6.667,21.623,122.673
easy-ipc-grid,0.427,0.497,0.554,0.616,0.836,0.853,0.874,0.894,0.284,1.324,7.5,39.806,107.582
ferry,0.376,0.495,0.591,0.698,0.795,0.838,0.867,0.903,0.151,1.033,6.333,7.92,4.176
logistics,0.53,0.502,0.517,0.612,0.894,0.89,0.896,0.922,0.218,1.335,10,18.679,19.154
miconic,0.396,0.518,0.561,0.616,0.751,0.823,0.849,0.873,0.17,1.173,6,10.2,2.504
rovers,0.304,0.381,0.438,0.53,0.677,0.724,0.777,0.834,0.232,1.42,6,227.603,2.628
satellite,0.228,0.265,0.327,0.41,0.301,0.457,0.606,0.727,0.195,2.442,6,10.333,1.494
small-sokoban,0.174,0.321,0.424,0.537,0.681,0.803,0.858,0.902,0,1.577,9,207.178,891.958
zeno-travel,0.328,0.402,0.447,0.552,0.737,0.779,0.806,0.85,0.234,1.174,6,132.764,1.759
,0.308833333333333,0.37325,0.4305,0.5195,0.717333333333333,0.763916666666666,0.806416666666667,0.853083333333333,0.195083333333333,1.57208333333333,8.18058333333333,62.9218333333333,97.56275
,,,,0.099322286857818,0.149557866912963,0.116005357874348,0.082916080399938,0.057412917148979,0.079492618455357,0.450767393514167,3.77702862618958,76.70978179784,242.991585298108
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,blocks-world,39.00,91.10,2.06,20.00,11.49,52.35,,,,
,,,depots,41.00,81.30,1.97,8.00,2.91,14.06,,,,
,,,driverlog,46.00,83.40,1.17,6.67,2.43,12.54,,,,
,,,dwr,40.30,77.40,2.19,6.67,122.67,21.62,,,,
,,,easy-ipc-grid,61.60,89.40,1.32,7.50,107.58,39.81,,,,
,,,ferry,69.80,90.30,1.03,6.33,4.18,7.92,,,,
,,,logistics,61.20,92.20,1.34,10.00,19.15,18.68,,,,
,,,miconic,61.60,87.30,1.17,6.00,2.50,10.20,,,,
,,,rovers,53.00,83.40,1.42,6.00,2.63,227.60,,,,
,,,satellite,41.00,72.70,2.44,6.00,1.49,10.33,,,,
,,,small-sokoban,53.70,90.20,1.58,9.00,891.96,207.18,,,,
,,,zeno-travel,55.20,85.00,1.17,6.00,1.76,132.76,,,,
,,,,51.95,85.31,1.57,8.18,97.56,62.92,,,,
,,,,10.373874528221,5.9965836233238,0.470811187465235,3.94497773834791,253.796433513921,80.1207540254462,,,,
