problem,ppv_30,ppv_50,ppv_60,ppv_100,Acc_1,Acc_2,Acc_3,Acc_4,STD,Spread,PC,Offline,Online
blocks-world,0.214,0.267,0.301,0.39,0.87,0.886,0.894,0.911,0.204,2.055,20,49.531,1.547
depots,0.19,0.241,0.311,0.41,0.701,0.679,0.74,0.813,0.214,1.968,8,12.615,0.285
driverlog,0.286,0.291,0.358,0.46,0.764,0.766,0.796,0.834,0.325,1.173,6.667,11.541,0.176
dwr,0.253,0.299,0.337,0.403,0.601,0.669,0.714,0.774,0.114,2.191,6.667,20.932,7.072
easy-ipc-grid,0.427,0.497,0.554,0.616,0.836,0.853,0.874,0.894,0.284,1.324,7.5,39.961,13.873
ferry,0.376,0.495,0.598,0.704,0.795,0.838,0.869,0.904,0.143,1.033,6.333,7.414,0.195
logistics,0.53,0.502,0.517,0.612,0.894,0.89,0.896,0.922,0.218,1.335,10,19.094,1.214
miconic,0.396,0.518,0.561,0.616,0.751,0.823,0.849,0.873,0.17,1.173,6,10.248,0.126
rovers,0.304,0.381,0.438,0.53,0.677,0.724,0.777,0.834,0.232,1.42,6,211.242,0.214
satellite,0.228,0.265,0.327,0.41,0.301,0.457,0.606,0.727,0.195,2.442,6,8.593,0.106
small-sokoban,0.174,0.321,0.424,0.537,0.681,0.803,0.858,0.902,0,1.577,9,204.182,96.094
zeno-travel,0.328,0.402,0.447,0.552,0.737,0.779,0.806,0.85,0.234,1.174,6,132.202,0.156
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,blocks-world,39,91.1,2.055,20,1.547,49.531,,,,
,,,depots,41,81.3,1.968,8,0.285,12.615,,,,
,,,driverlog,46,83.4,1.173,6.667,0.176,11.541,,,,
,,,dwr,40.3,77.4,2.191,6.667,7.072,20.932,,,,
,,,easy-ipc-grid,61.6,89.4,1.324,7.5,13.873,39.961,,,,
,,,ferry,70.4,90.4,1.033,6.333,0.195,7.414,,,,
,,,logistics,61.2,92.2,1.335,10,1.214,19.094,,,,
,,,miconic,61.6,87.3,1.173,6,0.126,10.248,,,,
,,,rovers,53,83.4,1.42,6,0.214,211.242,,,,
,,,satellite,41,72.7,2.442,6,0.106,8.593,,,,
,,,small-sokoban,53.7,90.2,1.577,9,96.094,204.182,,,,
,,,zeno-travel,55.2,85,1.174,6,0.156,132.202,,,,
,,,,52,85.3166666666667,1.57208333333333,8.18058333333333,10.0881666666667,60.6295833333333,,,,
,,,,10.4687413500643,6.00421569071316,0.470811187465235,3.94497773834791,27.4017108683956,76.9052406223025,,,,
