problem,ppv_30,ppv_50,ppv_60,ppv_100,Acc_1,Acc_2,Acc_3,Acc_4,STD,Spread,PC,Offline,Online
blocks-world,0.111,0.164,0.285,0.403,0.901,0.91,0.924,0.937,0.252,1.168,0.0,0.095,0.708
depots,0.058,0.069,0.127,0.286,0.684,0.685,0.716,0.796,0.111,1.511,0.0,0.058,0.178
driverlog,0.208,0.236,0.312,0.418,0.755,0.761,0.788,0.818,0.304,1.06,0.0,0.068,0.197
dwr,0.205,0.226,0.273,0.38,0.681,0.7,0.734,0.792,0.265,1.424,0.0,0.124,1.686
easy-ipc-grid,0.258,0.328,0.379,0.457,0.661,0.695,0.715,0.775,0.23,2.409,0.0,0.102,0.471
ferry,0.256,0.37,0.5,0.599,0.623,0.72,0.795,0.846,0.188,1.524,0.0,0.022,0.785
logistics,0.136,0.226,0.285,0.398,0.729,0.752,0.792,0.848,0.242,1.783,0.0,0.118,0.674
miconic,0.413,0.52,0.586,0.675,0.738,0.815,0.854,0.899,0.2,1.368,0.0,0.1,0.422
rovers,0.237,0.371,0.461,0.574,0.704,0.766,0.806,0.854,0.25,1.278,0.0,0.052,0.228
satellite,0.194,0.266,0.332,0.436,0.509,0.59,0.686,0.771,0.227,1.822,0.0,0.047,0.171
small-sokoban,0.154,0.228,0.29,0.351,0.389,0.624,0.728,0.795,0.0,2.846,0.0,1.009,2.187
zeno-travel,0.315,0.339,0.343,0.405,0.712,0.743,0.76,0.789,0.176,1.316,0.0,0.088,0.177
