problem,ppv_30,ppv_50,ppv_60,ppv_100,Acc_1,Acc_2,Acc_3,Acc_4,STD,Spread,PC,Offline,Online
blocks-world,0.102,0.126,0.149,0.186,0.513,0.61,0.679,0.756,0.064,5.921,195.667,20.641,164.945
depots,0.214,0.233,0.274,0.338,0.401,0.44,0.576,0.704,0.184,3.319,84.0,4.636,43.058
driverlog,0.291,0.362,0.415,0.48,0.606,0.697,0.761,0.818,0.136,2.26,86.167,3.408,41.718
dwr,0.241,0.284,0.329,0.391,0.49,0.579,0.664,0.746,0.087,2.696,147.333,6.152,159.161
easy-ipc-grid,0.428,0.472,0.505,0.558,0.67,0.758,0.803,0.853,0.246,2.138,100.0,5.167,60.006
ferry,0.357,0.464,0.541,0.621,0.646,0.775,0.84,0.888,0.126,1.674,126.083,3.975,79.249
logistics,0.341,0.404,0.451,0.522,0.773,0.823,0.854,0.892,0.158,2.082,191.667,6.219,107.609
miconic,0.42,0.537,0.605,0.625,0.731,0.837,0.876,0.884,0.118,1.57,104.0,3.757,59.148
rovers,0.338,0.428,0.5,0.509,0.642,0.746,0.808,0.826,0.098,1.855,71.0,3.907,74.829
satellite,0.179,0.22,0.276,0.338,0.227,0.39,0.547,0.666,0.056,2.954,70.5,3.392,36.234
small-sokoban,0.229,0.325,0.4,0.491,0.625,0.769,0.833,0.885,0.0,2.038,243.0,28.121,668.146
zeno-travel,0.355,0.457,0.537,0.621,0.686,0.788,0.848,0.893,0.082,1.641,78.0,4.16,56.996
