problem,ppv_30,ppv_50,ppv_60,ppv_100,Acc_1,Acc_2,Acc_3,Acc_4,STD,Spread,PC,Offline,Online
blocks-world,0.111,0.164,0.285,0.406,0.901,0.91,0.924,0.939,0.256,1.11,30.5,20.068,9.91
depots,0.111,0.133,0.228,0.438,0.778,0.783,0.807,0.86,0.191,1.0,22.333,4.838,8.67
driverlog,0.208,0.236,0.312,0.416,0.755,0.761,0.788,0.821,0.302,1.028,19.583,3.61,7.323
dwr,0.207,0.229,0.279,0.39,0.709,0.719,0.746,0.801,0.263,1.35,34.25,5.472,27.59
easy-ipc-grid,0.234,0.342,0.406,0.521,0.766,0.788,0.806,0.849,0.317,1.205,39.875,4.272,18.809
ferry,0.208,0.344,0.497,0.595,0.733,0.779,0.827,0.858,0.301,1.0,35.5,3.324,15.029
logistics,0.111,0.219,0.292,0.453,0.79,0.821,0.84,0.882,0.221,1.329,42.417,5.321,17.168
miconic,0.395,0.526,0.604,0.703,0.759,0.823,0.86,0.903,0.238,1.149,28.333,3.325,12.011
rovers,0.208,0.403,0.53,0.655,0.736,0.801,0.84,0.88,0.241,1.056,20.083,3.233,13.639
satellite,0.181,0.244,0.324,0.436,0.528,0.6,0.693,0.776,0.246,1.725,26.833,2.865,10.252
small-sokoban,0.143,0.222,0.288,0.313,0.403,0.632,0.735,0.782,0.0,2.577,38.0,23.271,60.486
zeno-travel,0.299,0.35,0.363,0.446,0.762,0.781,0.786,0.814,0.163,1.072,21.75,3.542,10.843
