problem,ppv_30,ppv_50,ppv_60,ppv_100,Acc_1,Acc_2,Acc_3,Acc_4,STD,Spread,PC,Offline,Online
blocks-world,0.233,0.282,0.312,0.371,0.874,0.894,0.899,0.912,0.191,1.928,20.0,25.254,0.017
depots,0.218,0.249,0.315,0.414,0.719,0.677,0.739,0.814,0.208,1.994,8.0,5.218,0.012
driverlog,0.286,0.291,0.362,0.482,0.764,0.766,0.796,0.841,0.297,1.186,6.667,5.825,0.018
dwr,0.251,0.287,0.328,0.395,0.595,0.655,0.707,0.771,0.08,2.249,6.667,5.782,0.023
easy-ipc-grid,0.417,0.473,0.521,0.586,0.822,0.841,0.857,0.882,0.281,1.392,7.5,4.94,0.091
ferry,0.378,0.466,0.575,0.695,0.793,0.826,0.861,0.902,0.151,1.033,6.333,3.419,0.019
logistics,0.493,0.417,0.418,0.512,0.882,0.858,0.863,0.893,0.185,1.659,10.0,5.055,0.022
miconic,0.429,0.49,0.507,0.5,0.761,0.81,0.826,0.822,0.194,1.402,6.0,3.588,0.065
rovers,0.222,0.332,0.395,0.49,0.648,0.669,0.735,0.806,0.225,1.606,6.0,223.597,0.03
satellite,0.23,0.268,0.334,0.421,0.333,0.471,0.616,0.734,0.195,2.384,6.0,4.966,0.011
small-sokoban,0.174,0.321,0.424,0.537,0.681,0.803,0.858,0.902,0.0,1.577,9.0,39.92,0.726
zeno-travel,0.321,0.417,0.485,0.581,0.735,0.779,0.816,0.86,0.233,1.305,6.0,123.55,0.013
